arthropods 	 Cymodoce_truncata 	 genomic_data 	 qmCymTrun2 	 hic-arima2
arthropods 	 Diaea_dorsata 	 genomic_data 	 qqDiaDors1 	 10x
arthropods 	 Dicyrtomina_minuta 	 genomic_data 	 qeDicMinu3 	 hic-arima2
arthropods 	 Dikerogammarus_villosus 	 genomic_data 	 qmDikVillo2 	 10x
arthropods 	 Dikerogammarus_villosus 	 genomic_data 	 qmDikVillo2 	 hic-arima2
arthropods 	 Dikerogammarus_villosus 	 genomic_data 	 qmDikVillo3 	 10x
arthropods 	 Dolomedes_fimbriatus 	 genomic_data 	 qqDolFimb1 	 10x
arthropods 	 Dolomedes_fimbriatus 	 genomic_data 	 qqDolFimb1 	 pacbio
arthropods 	 Dolomedes_plantarius 	 genomic_data 	 qDolPla1 	 10x
arthropods 	 Dolomedes_plantarius 	 genomic_data 	 qDolPla1 	 hic-dnazoo
arthropods 	 Dolomedes_plantarius 	 genomic_data 	 qDolPla1 	 pacbio
arthropods 	 Dysdera_crocata 	 genomic_data 	 qqDysCroc1 	 10x
arthropods 	 Dysdera_crocata 	 genomic_data 	 qqDysCroc1 	 pacbio
arthropods 	 Enoplognatha_latimana 	 genomic_data 	 qqEnoLati1 	 10x
arthropods 	 Enoplognatha_latimana 	 genomic_data 	 qqEnoLati1 	 hic-arima2
arthropods 	 Enoplognatha_latimana 	 genomic_data 	 qqEnoLati1 	 pacbio
arthropods 	 Eratigena_atrica 	 genomic_data 	 qqEraAtri1 	 10x
arthropods 	 Eratigena_atrica 	 genomic_data 	 qqEraAtri1 	 pacbio
arthropods 	 Eratigena_atrica 	 genomic_data 	 qqEraAtri3 	 hic-arima2
arthropods 	 Eratigena_duellica 	 genomic_data 	 qqEraDuel1 	 hic-arima2
arthropods 	 Eratigena_saeva 	 genomic_data 	 qqEraSaev1 	 hic-arima2
arthropods 	 Euscorpius_flavicaudis 	 genomic_data 	 qqEusFlav1 	 10x
arthropods 	 Euscorpius_flavicaudis 	 genomic_data 	 qqEusFlav1 	 hic-arima2
arthropods 	 Euscorpius_flavicaudis 	 genomic_data 	 qqEusFlav1 	 pacbio
arthropods 	 Galathea_squamifera 	 genomic_data 	 qmGalSqua1 	 hic-arima2
arthropods 	 Gammarus_pulex 	 genomic_data 	 qmGamPule10 	 hic-arima2
arthropods 	 Glomeris_marginata 	 genomic_data 	 qdGloMarg1 	 10x
arthropods 	 Glomeris_marginata 	 genomic_data 	 qdGloMarg1 	 pacbio
arthropods 	 Herpetocypris_reptans 	 genomic_data 	 qoHerRept1 	 10x
arthropods 	 Hippolyte_varians 	 genomic_data 	 qmHipVari7 	 hic-arima2
arthropods 	 Idotea_granulosa 	 genomic_data 	 qmIdoGran1 	 10x
arthropods 	 Idotea_granulosa 	 genomic_data 	 qmIdoGran1 	 pacbio
arthropods 	 Idotea_granulosa 	 genomic_data 	 qmIdoGran2 	 hic-arima2
arthropods 	 Linyphia_triangularis 	 genomic_data 	 qqLinTria5 	 10x
arthropods 	 Linyphia_triangularis 	 genomic_data 	 qqLinTria5 	 pacbio
arthropods 	 Lithobius_forficatus 	 genomic_data 	 qcLitForf1 	 hic-arima2
arthropods 	 Lithobius_forficatus 	 genomic_data 	 qcLitForf1 	 pacbio
arthropods 	 Lithobius_melanops 	 genomic_data 	 qcLitMela1 	 10x
arthropods 	 Lithobius_melanops 	 genomic_data 	 qcLitMela1 	 hic-arima2
arthropods 	 Lithobius_melanops 	 genomic_data 	 qcLitMela1 	 pacbio
arthropods 	 Lithobius_variegatus 	 genomic_data 	 qcLitVari1 	 10x
arthropods 	 Lithobius_variegatus 	 genomic_data 	 qcLitVari1 	 hic-arima2
arthropods 	 Lithobius_variegatus 	 genomic_data 	 qcLitVari1 	 pacbio
arthropods 	 Macropodia_tenuirostris 	 genomic_data 	 qmMacTenu1 	 hic-arima2
arthropods 	 Marinogammarus_marinus 	 genomic_data 	 qmMarMari5 	 hic-arima2
arthropods 	 Meta_bourneti 	 genomic_data 	 qqMetBour1 	 10x
arthropods 	 Meta_bourneti 	 genomic_data 	 qqMetBour1 	 hic-arima2
arthropods 	 Meta_bourneti 	 genomic_data 	 qqMetBour1 	 pacbio
arthropods 	 Metellina_segmentata 	 genomic_data 	 qqMetSegm1 	 pacbio
arthropods 	 Metellina_segmentata 	 genomic_data 	 qqMetSegm2 	 hic-arima2
arthropods 	 Nanogona_polydesmoides 	 genomic_data 	 qdNanPoly1 	 hic-arima2
arthropods 	 Necora_puber 	 genomic_data 	 qmNecPube1 	 hic-arima2
arthropods 	 Odiellus_spinosus 	 genomic_data 	 qqOdiSpin1 	 pacbio
arthropods 	 Ommatoiulus_sabulosus 	 genomic_data 	 qdOmmSabu1 	 hic-arima2
arthropods 	 Oniscus_asellus 	 genomic_data 	 qmOniAsel2 	 10x
arthropods 	 Oniscus_asellus 	 genomic_data 	 qmOniAsel2 	 hic-arima2
arthropods 	 Oniscus_asellus 	 genomic_data 	 qmOniAsel2 	 pacbio
arthropods 	 Ophyiulus_pilosus 	 genomic_data 	 qdOphPilo1 	 hic-arima2
arthropods 	 Oritoniscus_flavus 	 genomic_data 	 qmOriFlav2 	 hic-arima2
arthropods 	 Pagurus_bernhardus 	 genomic_data 	 qmPagBern1 	 10x
arthropods 	 Pagurus_bernhardus 	 genomic_data 	 qmPagBern1 	 hic-arima2
arthropods 	 Pagurus_bernhardus 	 genomic_data 	 qmPagBern1 	 pacbio
arthropods 	 Pagurus_prideaux 	 genomic_data 	 qmPagPrid1 	 hic-arima2
arthropods 	 Palaemon_serratus 	 genomic_data 	 qmPalSerr3 	 hic-arima2
arthropods 	 Pardosa_saltans 	 genomic_data 	 qqParSalt1 	 10x
arthropods 	 Pardosa_saltans 	 genomic_data 	 qqParSalt1 	 pacbio
arthropods 	 Perforatus_perforatus 	 genomic_data 	 qxPerPerf2 	 pacbio
arthropods 	 Philoscia_muscorum 	 genomic_data 	 qmPhiMusc2 	 10x
arthropods 	 Philoscia_muscorum 	 genomic_data 	 qmPhiMusc2 	 hic-arima2
arthropods 	 Philoscia_muscorum 	 genomic_data 	 qmPhiMusc2 	 pacbio
arthropods 	 Pholcus_phalangioides 	 genomic_data 	 qqPhoPhal2 	 10x
arthropods 	 Pholcus_phalangioides 	 genomic_data 	 qqPhoPhal2 	 pacbio
arthropods 	 Pisaura_mirabilis 	 genomic_data 	 qqPisMira1 	 10x
arthropods 	 Pisaura_mirabilis 	 genomic_data 	 qqPisMira2 	 10x
arthropods 	 Pisaura_mirabilis 	 genomic_data 	 qqPisMira2 	 pacbio
arthropods 	 Pisidia_longicornis 	 genomic_data 	 qmPisLong2 	 10x
arthropods 	 Pisidia_longicornis 	 genomic_data 	 qmPisLong2 	 hic-arima2
arthropods 	 Pisidia_longicornis 	 genomic_data 	 qmPisLong2 	 pacbio
arthropods 	 Pisidia_longicornis 	 genomic_data 	 qmPisLong4 	 hic-arima2
arthropods 	 Porcellana_platycheles 	 genomic_data 	 qmPorPlat2 	 hic-arima2
arthropods 	 Porcellana_platycheles 	 genomic_data 	 qmPorPlat2 	 pacbio
arthropods 	 Porcellio_scaber 	 genomic_data 	 qmPorScab2 	 10x
arthropods 	 Sacculina_carcini 	 genomic_data 	 qxSacCarc1 	 10x
arthropods 	 Sacculina_carcini 	 genomic_data 	 qxSacCarc1 	 hic-arima2
arthropods 	 Sacculina_carcini 	 genomic_data 	 qxSacCarc1 	 pacbio
arthropods 	 Scytodes_thoracica 	 genomic_data 	 qqScyThor1 	 pacbio
