taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value
77623	species	Linnaea borealis	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1
49554	species	Ligusticum scoticum	Apiaceae	Apiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	3.3203125
105271	species	Knautia arvensis	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	7.16015625
347648	species	Linum bienne	Linaceae	Malpighiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.6298828125
260603	species	Lycopus europaeus	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.8623046875
306308	species	Lysimachia terrestris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.9765625
191068	species	Lysimachia vulgaris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.310546875
313096	species	Lathyrus linifolius	Fabaceae	Fabales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	5.890625
53159	species	Lamium album	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.97021484375
313096	species	Lathyrus linifolius	Fabaceae	Fabales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	5.890625
370638	species	Lonicera confusa	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.96484375
245821	species	Lonicera etrusca	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.96484375
213829	species	Lonicera periclymenum	Caprifoliaceae	Dipsacales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	3.1796875
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
306308	species	Lysimachia terrestris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.9765625
191068	species	Lysimachia vulgaris	Primulaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	2.310546875
342017	species	Impatiens scabrida	Balsaminaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.912109375
127129	species	Impatiens noli-tangere	Balsaminaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
53164	species	Lamium purpureum	Lamiaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.81005859375
43171	species	Linaria vulgaris	Plantaginaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.9599609375
342017	species	Impatiens scabrida	Balsaminaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.912109375
127129	species	Impatiens noli-tangere	Balsaminaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
